R,l,n_grid,c,gamma
37,6,64,2.5435648851553196,0.292088065327561
37,7,128,19.687882652300686,0.3826710269190662
37,8,256,26.76133466324245,0.3770322326459055
37,9,512,27.656971009913832,0.36152682022414334
37,10,1024,22.46190971485339,0.3412594420643274
38,1,2,0.027699056879554984,0.006924764219888746
38,2,4,0.4643416719310789,0.17035655107947106
38,3,8,1.7745494882159036,0.30267000258056703
38,4,16,4.904445491810108,0.37203815905750043
38,5,32,11.097717540133033,0.4045635411786726
38,6,64,7.901406857733036,0.3528234260657947
38,7,128,20.838080518593415,0.3857875900466493
38,8,256,28.51322875468759,0.3800325611034918
38,9,512,30.238406146527268,0.36512918912411496
38,10,1024,26.69789037614828,0.3472063850985082
39,1,2,0.11727056571213668,0.02931764142803417
39,2,4,0.03916190407628228,0.049473417152726
39,3,8,1.1640794744044243,0.2629869626251767
39,4,16,3.6024457307250373,0.34442079943270776
39,5,32,9.344010103814298,0.39088289714802815
39,6,64,4.155418240827657,0.31698774009285613
39,7,128,16.106136956478622,0.37184962665069454
39,8,256,23.706451239428134,0.37136273962494504
39,9,512,27.69588983138965,0.3615833115303591
39,10,1024,34.818311229755636,0.3565502776468838
40,1,2,0.08526304381020067,0.021315760952550167
40,2,4,0.0027935939391738884,0.013213614993572653
40,3,8,0.7147730747246328,0.2235266984277779
40,4,16,0.5128938896696411,0.21156649439414668
40,5,32,8.878790371365994,0.3869107257180009
40,6,64,8.33508271467963,0.35597950460149885
40,7,128,15.695295490864737,0.37047953462528094
40,8,256,22.361178949875466,0.3686607020719271
40,9,512,27.343102324201027,0.3610686339316937
40,10,1024,39.859896392561495,0.36140455773589875
41,1,2,0.21531351055020664,0.05382837763755166
41,2,4,0.4487443845861314,0.16747096475697873
41,3,8,1.0780233006102975,0.25633980993261124
41,4,16,4.588947062462154,0.36590493812354674
41,5,32,13.662454207457358,0.42174093112140165
41,6,64,2.028190332443046,0.2812708938858829
41,7,128,17.951983854371065,0.3776582096435592
41,8,256,24.035200408230594,0.37200260160072507
41,9,512,27.2937193888647,0.3609961193699975
41,10,1024,32.53659583395347,0.35414182412126904
42,1,2,0.0340664669302142,0.00851661673255355
42,2,4,0.08124345977621417,0.07125809593311756
42,3,8,1.2761110907870687,0.2711665837341586
42,4,16,3.0150628367234162,0.32943072389585
42,5,32,0.9608658676472714,0.24801192427167004
42,6,64,5.290985937413097,0.33001178046761304
42,7,128,15.70023886812487,0.3704962017938092
42,8,256,23.170689832477365,0.3703031267430905
42,9,512,25.976165348431095,0.35901699963393
42,10,1024,28.735573745216243,0.349769548133217
43,1,2,0.18200105244901854,0.045500263112254635
43,2,4,0.39153247411533254,0.15643138953614227
43,3,8,1.66188795392463,0.2961242146676099
43,4,16,2.55729756960001,0.31614427753682
43,5,32,1.3004583832508274,0.26348706532501087
43,6,64,7.710695017303806,0.3513896210321062
43,7,128,19.184561553759522,0.3812578973719641
43,8,256,25.243880917369097,0.37429112030856104
43,9,512,29.892381728917826,0.364662560875066
43,10,1024,41.23654342384543,0.3626337608987583
44,1,2,0.08605331275910455,0.021513328189776137
44,2,4,0.10026581116556699,0.07916194286301932
44,3,8,1.328662524688479,0.2748389225213207
44,4,16,0.5167331227323757,0.2119613045958586
