R,l,n_grid,c,gamma
44,5,32,4.418568260989787,0.33650871981389535
44,6,64,7.021251167968785,0.34594662139480803
44,7,128,16.876885046314783,0.37434107139195355
44,8,256,24.658651157260465,0.37319530656162075
44,9,512,27.589505436830223,0.36142872521173547
44,10,1024,30.18354285461828,0.3514932830177864
45,1,2,0.052030293059522226,0.013007573264880556
45,2,4,0.02864103169057053,0.042309153627325825
45,3,8,1.1821026125001062,0.2643372703881044
45,4,16,0.07009306195061527,0.12863488622061017
45,5,32,9.610931724262173,0.3930910059019307
45,6,64,20.223472751470126,0.41265074264194446
45,7,128,17.421489002570524,0.37604334271210205
45,8,256,26.043995257547067,0.3757538677609179
45,9,512,29.469909752486274,0.36408628576510554
45,10,1024,33.75814930780325,0.3554494705224661
46,1,2,0.20914800302007652,0.05228700075501913
46,2,4,0.2148683453596103,0.11588473404627395
46,3,8,0.2989161501841764,0.1671564485430223
46,4,16,0.15942096082926582,0.15797063512579648
46,5,32,5.436385063740147,0.35075353024913586
46,6,64,6.042639689908356,0.33739951851536965
46,7,128,16.901421836812915,0.37441877200715257
46,8,256,24.75251556968942,0.3733725849080223
46,9,512,29.495399854844436,0.3641212631785225
46,10,1024,39.78627670556307,0.361337752168766
47,1,2,0.11974114923452772,0.02993528730863193
47,2,4,0.15582038896041261,0.09868522842870552
47,3,8,1.6215602667324802,0.2937093057695635
47,4,16,5.653839692039156,0.38550133048687024
47,5,32,17.351059371669066,0.4423899046962999
47,6,64,10.002993711802901,0.36696812365540216
47,7,128,17.30424815317201,0.3756807746521061
47,8,256,23.82234603948018,0.3715891929505926
47,9,512,28.583039414021187,0.3628522595012628
47,10,1024,40.03289021726232,0.36156110351892584
48,1,2,0.03144972195542062,0.007862430488855154
48,2,4,0.16259165097959283,0.1008066376099538
48,3,8,0.8201163122311002,0.23400860378554963
48,4,16,2.7667321274518883,0.3224272854876048
48,5,32,4.134216375449341,0.3320615947060349
48,6,64,5.676143774831871,0.3338993497171085
48,7,128,14.249497844466532,0.36539997831284915
48,8,256,20.905641483586805,0.3655720178754875
48,9,512,25.360994098038645,0.3580622063686307
48,10,1024,36.22705444449093,0.35796726292164255
49,1,2,0.05584796695330363,0.013961991738325907
49,2,4,0.12717831010163216,0.08915517024464711
49,3,8,0.46732624552242186,0.19400521283232947
49,4,16,3.147785859566966,0.33299775354701505
49,5,32,1.5866036864566695,0.27417869214533835
49,6,64,13.087433241686085,0.38378007368485606
49,7,128,17.688978235206378,0.3768627894323159
49,8,256,24.31915333721554,0.3725491398740933
49,9,512,26.898411746224156,0.3604114036819457
49,10,1024,28.89143404981587,0.34995879991099466
50,1,2,0.08262473993617703,0.020656184984044257
50,2,4,0.3690296438291538,0.1518695253805783
50,3,8,0.8839411760571032,0.23992810853604363
50,4,16,2.0210329687420767,0.29808035735401534
50,5,32,4.419057871470727,0.3365161770210415
50,6,64,5.163166315561284,0.32866946746169257
50,7,128,17.471943205404386,0.37619872930162446
50,8,256,25.123460305934714,0.37406746851933453
50,9,512,28.158880394155858,0.3622499920193216
50,10,1024,31.70698276348412,0.35322830744414047
51,1,2,0.02146644669505582,0.005366611673763955
51,2,4,0.011786628337175031,0.02714155984967407
51,3,8,1.416868483081121,0.2807910033026945
51,4,16,2.6344115283381058,0.3185010828658409
51,5,32,6.201754538167734,0.3601164193557203
51,6,64,2.6595952129696343,0.2942677029052644
51,7,128,16.64449815653461,0.3736003309735992
51,8,256,23.14973896315496,0.37026125680290045
51,9,512,27.515740943636047,0.3613212272491965
51,10,1024,37.41924413049128,0.3591282007753374
52,1,2,0.09428657814284991,0.023571644535712477
52,2,4,1.0519493157433555,0.25641145105856666
52,3,8,2.168032696430018,0.3235653079353615
52,4,16,0.8817145690731394,0.24225458917802967
52,5,32,7.646029922286118,0.3755149288259363
52,6,64,1.6938528963514727,0.2729517965728628
52,7,128,13.010845727271771,0.36068369703866043
52,8,256,18.55406621964721,0.3601595180107104
52,9,512,22.747911335725803,0.35376208870510656
52,10,1024,33.39040551788639,0.35506035096306654
53,1,2,0.07357991210826365,0.01839497802706591
53,2,4,0.07687178962563657,0.06931440580140816
53,3,8,0.604077312498049,0.21133471882971566
53,4,16,3.5668752309462803,0.3435674315333922
53,5,32,16.35360253305504,0.4371824265994555
53,6,64,37.72130215614925,0.4578302189156302
53,7,128,16.54289257270102,0.37327367161946673
53,8,256,24.80175760685961,0.37346535146219845
53,9,512,29.139665734459413,0.3636306782144646
53,10,1024,36.30222084291745,0.3580414671879151
54,1,2,0.1444328936692092,0.0361082234173023
54,2,4,0.32314934796048256,0.14211556652080784
54,3,8,0.838044046235563,0.2357014695956081
54,4,16,0.24842374577181658,0.17649738902650425
54,5,32,1.904112623512333,0.2843665670645709
54,6,64,2.080602176631146,0.28246947109613685
54,7,128,15.62239683277221,0.37023322446047724
54,8,256,23.7806968978839,0.37150792355348816
54,9,512,27.80968464136822,0.3617480827132326
54,10,1024,34.99133335228544,0.35672706268897014
55,1,2,0.11658815554812163,0.029147038887030408
55,2,4,0.05502451099288663,0.05864325994566993
55,3,8,0.5593888819822936,0.2059892796206835
55,4,16,0.6738670688698676,0.22650801127900438
55,5,32,1.000051907219472,0.25000259530708807
55,6,64,22.523736130506677,0.42012650427346243
55,7,128,19.565977133544948,0.3823316304877226
55,8,256,27.867993379295513,0.37894677990632014
55,9,512,32.67281270350213,0.36828408839201593
55,10,1024,42.3108396937605,0.36356759982410863
56,1,2,0.09966496214703913,0.02491624053675978
56,2,4,0.30045101068680147,0.13703352935659613
56,3,8,0.10240399992638771,0.11696223240656485
56,4,16,2.683607014665398,0.3199777190859884
56,5,32,6.737488586799259,0.36613362643307673
56,6,64,5.168017906925797,0.3287209199329333
56,7,128,17.250196989121832,0.37551291150397687
56,8,256,24.65963440440828,0.37319716664318625
56,9,512,28.917256593413185,0.3633212471557607
56,10,1024,37.24285632837564,0.35895855382342423
57,1,2,0.3184946614122315,0.07962366535305787
57,2,4,0.8152847004248249,0.22573279286924963
57,3,8,1.5088727925674377,0.2867417190310115
57,4,16,4.069720023599544,0.3550840313763037
57,5,32,5.41938076864119,0.3505338330518754
57,6,64,12.028525636514132,0.37842115626387973
57,7,128,15.30435703000694,0.36914696916230755
57,8,256,21.9382618656673,0.3677818437748872
57,9,512,25.395907783153234,0.3581169432205718
57,10,1024,32.112006968818605,0.3536769474899573
58,1,2,0.11951600490172254,0.029879001225430635
58,2,4,0.5610420630179789,0.18725685284823004
58,3,8,1.0564102228382204,0.2546151299410993
58,4,16,0.12707793539897239,0.1492648491054099
58,5,32,6.024754207348678,0.3580369718810055
58,6,64,8.017515385302886,0.35368228605426183
58,7,128,14.845191589507522,0.36754406109229226
58,8,256,20.739826792567328,0.36520830860117276
58,9,512,24.106977392482804,0.35605035778539157
58,10,1024,31.598938821000047,0.35310775725768795
59,1,2,0.006952528228277188,0.001738132057069297
59,2,4,0.11435885354094211,0.08454246475179726
